timestamp_s,frame_idx,track_id,x1,y1,x2,y2,conf
17.584,527,199,97,518,486,754,0.6935564875602722
17.584,527,158,1584,497,1768,631,0.6188860535621643
17.584,527,171,1586,515,1703,632,0.5209841132164001
17.584,527,193,1788,485,1918,611,0.48851901292800903
17.618,528,197,431,536,788,806,0.8617211580276489
17.618,528,188,1058,501,1246,683,0.7678672075271606
17.618,528,199,143,508,491,753,0.6939612627029419
17.618,528,162,1391,498,1525,619,0.6697141528129578
17.618,528,171,1594,511,1708,632,0.6688269376754761
17.618,528,193,1794,482,1919,611,0.36499249935150146
17.618,528,158,1591,498,1777,630,0.3649578392505646
17.651,529,201,0,627,425,1076,0.8707611560821533
17.651,529,197,470,533,817,804,0.79583740234375
17.651,529,188,1072,504,1262,679,0.7369097471237183
17.651,529,162,1406,497,1535,618,0.7356383204460144
17.651,529,199,189,498,527,744,0.5965885519981384
17.651,529,171,1602,514,1710,628,0.5560709834098816
17.651,529,158,1597,504,1778,628,0.3851013779640198
17.651,529,193,1800,491,1918,610,0.3634626865386963
17.684,530,201,0,655,528,1073,0.849807858467102
17.684,530,197,508,525,846,802,0.7912055253982544
17.684,530,188,1092,499,1275,677,0.7558760643005371
17.684,530,199,239,504,559,722,0.6669352054595947
17.684,530,162,1414,498,1546,619,0.6527791619300842
17.684,530,171,1604,511,1719,627,0.6157239079475403
17.684,530,193,1803,493,1917,610,0.4351811707019806
17.718,531,197,546,548,873,788,0.7631947994232178
17.718,531,201,4,621,625,1072,0.7264239192008972
17.718,531,188,1109,499,1290,675,0.7083696126937866
17.718,531,162,1424,498,1563,617,0.6438013315200806
17.718,531,171,1612,514,1723,627,0.5982143878936768
17.718,531,158,1611,507,1780,628,0.5340217351913452
17.718,531,193,1814,502,1919,610,0.5108781456947327
17.718,531,199,282,507,582,707,0.4754522740840912
17.751,532,197,578,531,903,775,0.827767550945282
17.751,532,162,1435,505,1561,614,0.780291736125946
17.751,532,188,1120,494,1304,672,0.7702327370643616
17.751,532,201,0,516,716,1070,0.7694534659385681
17.751,532,171,1618,511,1731,626,0.6058468222618103
17.751,532,193,1815,496,1919,608,0.5653271675109863
17.784,533,201,29,565,803,1067,0.8102237582206726
17.784,533,162,1445,504,1572,616,0.7615199089050293
17.784,533,188,1137,499,1326,672,0.76018226146698
17.784,533,171,1625,514,1733,625,0.6640942692756653
17.784,533,197,609,536,926,753,0.6152501106262207
17.784,533,193,1822,502,1917,610,0.4383043944835663
17.818,534,201,165,554,881,1070,0.8439106941223145
17.818,534,188,1149,504,1335,669,0.7805870175361633
17.818,534,162,1451,496,1578,614,0.7612493634223938
17.818,534,171,1631,511,1737,625,0.7537286281585693
17.818,534,202,0,487,185,688,0.7107692360877991
17.818,534,197,619,519,952,737,0.5350125432014465
17.851,535,188,1161,490,1344,666,0.7765560746192932
17.851,535,201,276,545,959,1071,0.767626941204071
17.851,535,203,0,611,136,899,0.7078765630722046
17.851,535,162,1459,498,1586,613,0.6708738207817078
17.851,535,171,1637,512,1746,624,0.6586738228797913
17.851,535,202,0,471,210,684,0.4790104329586029
17.885,536,162,1475,503,1597,614,0.7681712508201599
17.885,536,202,0,488,194,889,0.7525877952575684
17.885,536,201,392,562,1026,1071,0.734646737575531
17.885,536,188,1186,490,1353,665,0.7202894687652588
17.885,536,171,1646,512,1751,624,0.46812713146209717
17.918,537,201,501,548,1096,1057,0.8627492785453796
17.918,537,162,1484,499,1605,614,0.808594822883606
17.918,537,202,0,505,249,894,0.7710595726966858
17.918,537,188,1199,504,1365,665,0.7557805776596069
17.918,537,171,1652,515,1758,622,0.6248579025268555
17.951,538,201,599,606,1157,1044,0.8928951621055603
17.951,538,202,0,498,302,899,0.8603718280792236
17.951,538,162,1495,499,1616,612,0.826001763343811
17.951,538,188,1213,506,1374,660,0.7392393350601196
17.951,538,171,1656,514,1761,622,0.674163818359375
17.951,538,199,525,515,826,719,0.5039852857589722
17.985,539,202,0,486,346,876,0.8554613590240479
17.985,539,201,683,598,1218,1025,0.8471452593803406
17.985,539,162,1502,493,1624,612,0.7746068239212036
17.985,539,188,1230,499,1388,659,0.7696100473403931
17.985,539,199,553,504,887,707,0.6553579568862915
17.985,539,171,1665,515,1768,622,0.5747212767601013
17.985,539,158,1663,479,1864,620,0.5102479457855225
18.018,540,202,0,511,393,887,0.8736120462417603
18.018,540,201,770,578,1279,1009,0.8553111553192139
18.018,540,188,1239,515,1398,657,0.7407692074775696
18.018,540,162,1512,489,1629,612,0.7264942526817322
18.018,540,199,578,514,947,705,0.5296860933303833
18.018,540,158,1666,463,1860,617,0.3685937821865082
18.051,541,202,0,510,436,902,0.8729486465454102
18.051,541,201,849,566,1334,994,0.8404118418693542
18.051,541,162,1523,504,1638,611,0.8093000650405884
18.051,541,188,1244,508,1413,650,0.6776793599128723
18.051,541,199,606,491,903,705,0.662493109703064
18.051,541,171,1677,513,1777,620,0.48883113265037537
18.085,542,202,0,503,479,897,0.8653430938720703
18.085,542,201,926,610,1386,978,0.8164385557174683
18.085,542,162,1533,501,1643,610,0.7633000612258911
18.085,542,199,648,508,918,701,0.697511613368988
18.085,542,188,1270,507,1420,643,0.6811530590057373
18.085,542,158,1683,479,1884,621,0.5761703252792358
18.118,543,202,0,502,521,892,0.8797574639320374
18.118,543,201,997,565,1439,967,0.8745222687721252
